pred_obj_id,pred_obj_id,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
3.0,7,0.0005033859,7.607417e-05,0.085210934,0.12637775,0.031291906,0.16699418,0.0005785488,0.58880776,7.627554e-05,8.3105544e-05
8.0,1,0.29705635,0.6293313,0.00042201648,0.0025073998,0.000572589,8.332595e-05,2.237859e-05,0.002403931,0.0368385,0.030762209
5.0,6,2.2648376e-06,0.00028647928,0.059176296,0.0030358282,0.011738411,0.006860416,0.9187709,0.00010501321,1.595063e-06,2.2799326e-05
2.0,9,0.093501516,0.07839393,0.00015851179,0.0036302004,7.527058e-05,0.00078668824,0.005512626,9.304871e-06,0.19004744,0.62788457
7.0,5,3.0928746e-05,6.200349e-06,0.0025934072,0.1404279,0.0030460348,0.7470043,0.0026750765,0.10255042,0.0016518023,1.3903038e-05
6.0,1,0.0019091045,0.72840357,0.00071039575,0.001982503,3.5233705e-05,0.0005757312,0.00042958764,0.00059960195,0.00026486287,0.26508945
1.0,7,4.640801e-05,2.4164501e-06,0.0053113895,0.0009690579,0.003049343,0.0042033964,2.5361074e-05,0.98599166,2.7464505e-06,0.000398147
9.0,0,0.9386171,2.1866821e-05,0.0025923476,0.00044079425,0.00089463114,9.61426e-06,0.00039741918,1.6163202e-06,0.05695773,6.701414e-05
8.0,5,0.0043906784,0.000108626504,0.014145621,0.15334433,0.0070846076,0.7604217,0.0012610409,0.04356538,0.015541239,0.00013677034
9.0,7,0.0023100288,0.00039851584,0.024351848,0.009366102,0.26696014,0.003545437,0.0003083794,0.6917867,0.00062452286,0.00034835597
6.0,7,4.4548213e-07,8.887684e-07,1.0696192e-05,1.5925094e-05,0.0005182433,7.6401826e-05,1.7861541e-07,0.99937135,2.5430322e-09,5.807211e-06
1.0,2,0.0009271825,6.43132e-05,0.7551011,0.0041804286,0.06400506,0.002554319,0.17265971,0.00014963452,0.000331767,2.652859e-05
3.0,7,0.003019862,0.0001758738,0.0037442734,0.005115509,0.023508362,0.046654552,8.802782e-05,0.9144877,0.00019963505,0.0030061875
6.0,9,0.020296028,0.28927466,0.0007736505,0.008637694,0.00044308894,0.004621346,0.0032668465,0.0022343853,0.00045334589,0.66999894
8.0,2,0.0126195615,0.00023197624,0.95439404,0.0077291946,0.008498875,0.0028238415,0.0058745877,0.0002243135,0.007229292,0.00037440978
3.0,7,0.027450278,0.0002036508,0.06273741,0.005666656,0.13319024,0.032773063,0.00019711065,0.70006907,0.03249078,0.005221643
6.0,8,0.059792165,0.00049833563,0.036537513,0.0005492776,0.0014302107,0.0003478202,0.00011806678,0.0010581152,0.8985458,0.0011226644
9.0,8,0.01384751,0.013590824,0.00047084113,0.00083478325,0.00018901633,0.0001336482,2.1000313e-05,0.0012304755,0.9459578,0.023724189
