gt_obj_id,pred_obj_id,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
3,3,0.0007647452,1.7641105e-05,0.021145806,0.73318875,0.0008759104,0.21215636,0.021035744,0.0061653685,0.00048162145,0.0041680564
9,9,0.2626526,0.06739466,6.1471794e-05,0.00014523733,0.00013245846,6.536319e-06,6.797228e-06,1.2822878e-05,0.112435095,0.5571524
3,5,0.008329477,7.219903e-05,0.09182307,0.42879164,0.0038794337,0.4290787,0.0015656551,0.02752619,0.0013357771,0.0075978083
2,2,0.03194214,0.0001963709,0.8183023,0.01771787,0.0024979012,0.092236854,0.003205893,0.026890373,0.0038830913,0.0031273237
7,7,0.010400279,0.051394958,0.003963132,0.0146749485,0.00660855,0.003718554,0.00015014612,0.8926918,0.00069309864,0.015704522
6,6,0.00046857464,0.00025363066,0.030950567,0.05932552,0.021626364,0.005570841,0.87916887,0.0017831521,0.00070780463,0.00014482219
9,9,0.0013880514,0.28528553,0.0013059101,0.008166528,0.002926047,0.0004534637,0.010636412,0.0013267357,0.03640393,0.6521075
9,9,0.0011101561,0.0046078716,0.00042065242,0.00250464,0.00054452923,0.0015320051,0.0008497952,0.00018413196,0.0031869067,0.9850594
6,3,0.0310616,0.053136904,0.020946579,0.33374938,0.006075313,0.06815114,0.024927208,0.14793685,0.26734194,0.046673097
9,9,0.17617211,0.34762746,0.032803025,0.0041060196,0.014039674,0.0019409175,0.00041809405,0.0053716144,0.038086884,0.37943417
6,6,0.0016846445,3.3050048e-05,0.22663988,0.02630466,0.19247034,0.012338327,0.53892434,0.0014799727,8.706291e-05,3.7703867e-05
1,1,0.00010736678,0.9862119,1.9649211e-05,0.00042323183,1.3464017e-05,2.9455301e-05,5.4721084e-05,5.6867942e-05,0.003548802,0.009534521
3,3,0.0448475,0.0029437235,0.33457842,0.52471894,0.021946242,0.02328908,0.004781932,0.038827054,0.0020043997,0.0020626115
6,6,7.3749475e-06,2.8178818e-05,0.00050266116,0.0008372962,0.006532359,3.7022313e-05,0.9920175,1.3524117e-06,3.200578e-05,4.2083952e-06
0,8,0.23880029,0.025682488,0.002704289,0.0032022023,0.0022816223,0.00045902093,0.0002994633,0.00013363967,0.69810784,0.028329162
3,3,0.0019593441,2.1670792e-05,0.01570514,0.8269702,0.0052393833,0.10955959,0.03789496,0.00096214935,0.0008692037,0.00081835815
6,6,0.00063489156,5.3629883e-05,0.015517332,0.01784821,0.013898766,0.0020537165,0.94935274,1.8190356e-05,0.0006097229,1.2829627e-05
9,9,0.047909804,0.0027958516,0.00024821717,0.00021971246,0.0005489881,3.96971e-05,4.110553e-05,0.00075050443,0.0068200226,0.9406261
